Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN,Neutral,5382,7757
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN,Female,9118,11765
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN-PWD,Neutral,295,295
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,EWS,Neutral,1182,1379
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,EWS,Female,2222,2222
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OBC-NCL,Neutral,1924,3022
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OBC-NCL,Female,5096,5231
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,SC,Neutral,1461,1846
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,SC,Female,3484,3722
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,ST,Neutral,399,945
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,ST,Female,1163,1163
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN,Neutral,12213,17777
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN,Female,22422,26461
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN-PWD,Neutral,1618,1618
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,EWS,Neutral,2648,3106
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,EWS,Female,5414,5414
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL,Neutral,6606,7542
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL,Female,12522,13287
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL-PWD,Neutral,670,670
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,SC,Neutral,2813,3997
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,SC,Female,5833,5833
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,ST,Neutral,1519,1804
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,ST,Female,2536,2536
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OPEN,Neutral,9271,13027
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OPEN,Female,12258,21488
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OPEN-PWD,Female,1386,1386
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,EWS,Neutral,1872,2133
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,EWS,Female,3267,4040
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OBC-NCL,Neutral,3025,4756
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OBC-NCL,Female,6451,9144
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,OBC-NCL-PWD,Neutral,397,397
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,SC,Neutral,1857,2796
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,SC,Female,4044,4366
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,ST,Neutral,843,1468
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL,AI,ST,Female,2358,2358
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,OPEN,Neutral,13165,15598
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,OPEN,Female,21063,22758
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,EWS,Neutral,2297,2457
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,EWS,Female,4191,4191
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,OBC-NCL,Neutral,5202,6259
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,OBC-NCL,Female,9466,10195
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,OBC-NCL-PWD,Neutral,672,672
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,SC,Neutral,2959,3522
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,SC,Female,6233,6627
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,ST,Neutral,1586,1727
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IT DUAL with MBA,AI,ST,Female,2529,2529
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,OPEN,Neutral,7420,12085
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,OPEN,Female,15143,15856
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,OPEN-PWD,Neutral,408,408
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,EWS,Neutral,1818,1894
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,EWS,Female,2916,2916
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,OBC-NCL,Neutral,3845,4416
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,OBC-NCL,Female,6119,7704
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,SC,Neutral,2247,2466
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,SC,Female,6320,6320
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics & Computing,AI,ST,Neutral,1309,1506
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OPEN,Neutral,12721,22296
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OPEN,Female,18761,29830
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OPEN-PWD,Neutral,807,1289
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OPEN-PWD,Female,1650,1650
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,EWS,Neutral,3447,4201
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,EWS,Female,4592,5281
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,EWS-PWD,Neutral,334,334
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OBC-NCL,Neutral,5954,9266
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OBC-NCL,Female,10898,13780
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OBC-NCL-PWD,Neutral,525,889
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,SC,Neutral,1783,5382
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,SC,Female,4383,6671
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,ST,Neutral,629,3386
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,ST,Female,2740,3764
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,OPEN,Neutral,23154,31608
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,OPEN,Female,31714,33828
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,OPEN-PWD,Neutral,2423,2423
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,EWS,Neutral,4913,5546
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,EWS,Female,6125,6135
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,OBC-NCL,Neutral,10042,12920
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,OBC-NCL,Female,15617,17308
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,SC,Neutral,6416,8237
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,SC,Female,8494,8994
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,ST,Neutral,2483,3871
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,ST,Female,4749,4749
Indian Institute of Information Technology Guwahati,CSE,AI,OPEN,Neutral,15041,20625
Indian Institute of Information Technology Guwahati,CSE,AI,OPEN,Female,22514,30265
Indian Institute of Information Technology Guwahati,CSE,AI,OPEN-PWD,Neutral,844,1125
Indian Institute of Information Technology Guwahati,CSE,AI,EWS,Neutral,3104,3218
Indian Institute of Information Technology Guwahati,CSE,AI,EWS,Female,4695,4695
Indian Institute of Information Technology Guwahati,CSE,AI,OBC-NCL,Neutral,5570,8246
Indian Institute of Information Technology Guwahati,CSE,AI,OBC-NCL,Female,10432,13560
Indian Institute of Information Technology Guwahati,CSE,AI,OBC-NCL-PWD,Neutral,629,629
Indian Institute of Information Technology Guwahati,CSE,AI,SC,Neutral,1928,5043
Indian Institute of Information Technology Guwahati,CSE,AI,SC,Female,6466,6983
Indian Institute of Information Technology Guwahati,CSE,AI,ST,Neutral,1183,2614
Indian Institute of Information Technology Guwahati,CSE,AI,ST,Female,2133,3025
Indian Institute of Information Technology Guwahati,ECE,AI,OPEN,Neutral,6816,32508
Indian Institute of Information Technology Guwahati,ECE,AI,OPEN,Female,30538,35265
Indian Institute of Information Technology Guwahati,ECE,AI,OPEN-PWD,Neutral,1756,1756
Indian Institute of Information Technology Guwahati,ECE,AI,EWS,Neutral,5038,5114
Indian Institute of Information Technology Guwahati,ECE,AI,OBC-NCL,Neutral,9744,13335
Indian Institute of Information Technology Guwahati,ECE,AI,OBC-NCL,Female,15454,17194
Indian Institute of Information Technology Guwahati,ECE,AI,OBC-NCL-PWD,Neutral,1248,1248
Indian Institute of Information Technology Guwahati,ECE,AI,SC,Neutral,6443,8502
Indian Institute of Information Technology Guwahati,ECE,AI,SC,Female,7516,9078
Indian Institute of Information Technology Guwahati,ECE,AI,ST,Neutral,640,3575
Indian Institute of Information Technology Guwahati,ECE,AI,ST,Female,3547,3547
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,OPEN,Neutral,22025,37195
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,OPEN-PWD,Neutral,339,402
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,EWS,Neutral,5840,6249
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,OBC-NCL,Neutral,10563,14772
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,OBC-NCL-PWD,Neutral,533,533
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,SC,Neutral,3646,7001
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,CSE,AI,ST,Neutral,1915,4103
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,OPEN,Neutral,38022,41775
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,OPEN-PWD,Neutral,2288,2288
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,EWS,Neutral,6763,7076
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,OBC-NCL,Neutral,14843,16321
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,SC,Neutral,6564,8655
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,ST,Neutral,4264,4712
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,OPEN,Neutral,17023,25572
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,OPEN-PWD,Neutral,879,1337
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,EWS,Neutral,4004,4519
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,OBC-NCL,Neutral,8182,10361
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,OBC-NCL-PWD,Neutral,1276,1276
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,SC,Neutral,4100,6409
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,ST,Neutral,2930,3883
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,OPEN,Neutral,21020,27255
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,OPEN-PWD,Neutral,937,937
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,EWS,Neutral,4299,4659
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,OBC-NCL,Neutral,10425,11845
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,SC,Neutral,6535,7380
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,IT,AI,ST,Neutral,3954,4547
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,OPEN,Neutral,19413,27059
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,OPEN,Female,25078,25851
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,OPEN-PWD,Neutral,913,913
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,EWS,Neutral,4569,4870
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,OBC-NCL,Neutral,8007,10959
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,OBC-NCL,Female,10269,10269
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,SC,Neutral,3435,5737
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,ST,Neutral,2684,3255
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,OPEN,Neutral,29711,37252
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,OPEN,Female,31015,34570
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,EWS,Neutral,5958,6474
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,OBC-NCL,Neutral,10831,14993
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,SC,Neutral,7163,9008
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,SC,Female,8070,8070
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,ST,Neutral,3199,4510
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OPEN,Neutral,27144,30983
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OPEN,Female,30776,30844
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OPEN-PWD,Neutral,1537,1537
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,EWS,Neutral,5004,5217
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OBC-NCL,Neutral,11230,13015
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OBC-NCL,Female,13896,13896
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,SC,Neutral,5750,7192
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,ST,Neutral,4421,4726
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,OPEN,Neutral,17087,30151
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,OPEN,Female,29340,31168
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,OPEN-PWD,Neutral,1927,1960
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,EWS,Neutral,4655,5276
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,OBC-NCL,Neutral,8343,12383
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,OBC-NCL,Female,11386,11386
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,SC,Neutral,6201,8315
Indian Institute of Information Technology (IIIT) Sri City Chittoor,AI and DATA SCIENCE,AI,ST,Neutral,1706,3767
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OPEN,Neutral,11064,27829
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OPEN,Female,17401,28218
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OPEN-PWD,Neutral,524,1488
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,EWS,Neutral,4247,5115
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,EWS,Female,4619,5072
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OBC-NCL,Neutral,7709,11779
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OBC-NCL,Female,8468,13095
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,OBC-NCL-PWD,Neutral,695,869
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,SC,Neutral,5044,8104
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,SC,Female,5956,6784
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,SC-PWD,Neutral,103,103
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,ST,Neutral,1427,3688
Indian Institute of Information Technology (IIIT) Sri City Chittoor,CSE,AI,ST,Female,3044,3044
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,OPEN,Neutral,26878,38934
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,OPEN,Female,31459,35012
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,OPEN-PWD,Neutral,2145,2145
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,EWS,Neutral,6317,6623
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,OBC-NCL,Neutral,13003,15280
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,OBC-NCL,Female,14500,14643
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,SC,Neutral,6921,9336
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,SC,Female,7935,7935
Indian Institute of Information Technology (IIIT) Sri City Chittoor,ECE,AI,ST,Neutral,3122,4083
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OPEN,Neutral,14349,21987
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OPEN,Female,14659,28372
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OPEN-PWD,Neutral,1485,1529
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OPEN-PWD,Female,1238,1238
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,EWS,Neutral,3285,3646
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,EWS,Female,5214,5382
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OBC-NCL,Neutral,5833,9294
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OBC-NCL,Female,11266,13356
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OBC-NCL-PWD,Neutral,741,766
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,SC,Neutral,3763,6046
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,SC,Female,3502,6840
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,ST,Neutral,2532,3236
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,ST,Female,3944,4387
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OPEN,Neutral,22404,23671
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OPEN,Female,29158,30854
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OPEN-PWD,Neutral,1297,1297
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,EWS,Neutral,3745,3821
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,EWS,Female,5383,5383
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OBC-NCL,Neutral,9367,10166
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OBC-NCL,Female,11639,13599
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OBC-NCL-PWD,Neutral,791,791
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,SC,Neutral,4178,6928
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,SC,Female,7428,7428
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,ST,Neutral,3302,3489
Indian Institute of Information Technology Allahabad,ECE,AI,OPEN,Neutral,4501,9270
Indian Institute of Information Technology Allahabad,ECE,AI,OPEN,Female,13241,15613
Indian Institute of Information Technology Allahabad,ECE,AI,OPEN-PWD,Neutral,236,331
Indian Institute of Information Technology Allahabad,ECE,AI,OPEN-PWD,Female,729,729
Indian Institute of Information Technology Allahabad,ECE,AI,EWS,Neutral,1287,1554
Indian Institute of Information Technology Allahabad,ECE,AI,EWS,Female,2477,2783
Indian Institute of Information Technology Allahabad,ECE,AI,EWS-PWD,Neutral,100,100
Indian Institute of Information Technology Allahabad,ECE,AI,OBC-NCL,Neutral,2577,3725
Indian Institute of Information Technology Allahabad,ECE,AI,OBC-NCL,Female,5375,8771
Indian Institute of Information Technology Allahabad,ECE,AI,OBC-NCL-PWD,Neutral,191,191
Indian Institute of Information Technology Allahabad,ECE,AI,SC,Neutral,1534,2472
Indian Institute of Information Technology Allahabad,ECE,AI,SC,Female,2845,4163
Indian Institute of Information Technology Allahabad,ECE,AI,ST,Neutral,741,1101
Indian Institute of Information Technology Allahabad,ECE,AI,ST,Female,1300,1903
Indian Institute of Information Technology Allahabad,IT,AI,OPEN,Neutral,672,5378
Indian Institute of Information Technology Allahabad,IT,AI,OPEN,Female,3098,10101
Indian Institute of Information Technology Allahabad,IT,AI,OPEN-PWD,Neutral,116,208
Indian Institute of Information Technology Allahabad,IT,AI,OPEN-PWD,Female,581,581
