Indian Institute of Information Technology Guwahati,ECE,AI,OBC-NCL-PWD,Neutral,1399,1399
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,IT,AI,OBC-NCL-PWD,Neutral,1715,1715
Indian Institute of Information Technology Bhopal,ECE,AI,OBC-NCL-PWD,Neutral,1648,1648
Indian institute of information technology Raichur Karnataka,Mathematics & Computing,AI,OBC-NCL-PWD,Neutral,1389,1389
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,IT,AI,OBC-NCL-PWD,Neutral,1588,1588
Indian Institute of Information Technology Agartala,CSE,AI,OBC-NCL-PWD,Neutral,1398,1763
Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,MECHANICAL,AI,OBC-NCL-PWD,Neutral,1674,1674
Indian Institute of Information Technology Bhagalpur,CSE,AI,OPEN-PWD,Neutral,1433,3283
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,CSE,AI,OBC-NCL-PWD,Female,1750,1750
Indian Institute of Information Technology Bhagalpur,CSE,AI,OBC-NCL-PWD,Neutral,1465,1804
Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,ECE,AI,OBC-NCL-PWD,Female,1489,1489
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,ECE,AI,OBC-NCL-PWD,Neutral,1898,1898
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,ECE,AI,OBC-NCL-PWD,Neutral,1488,1488
Indian Institute of Information Technology Allahabad,IT,AI,ST-PWD,Neutral,102,102
Indian Institute of Information Technology Bhagalpur,Mechatronics and Automation Engineering,AI,OPEN-PWD,Neutral,3521,3521
Indian Institute of Information Technology Bhopal,IT,AI,EWS-PWD,Neutral,337,337
Indian Institute of Information Technology Bhagalpur,ECE,AI,OPEN-PWD,Neutral,3688,3878
Indian Institute of Information Technology Guwahati,CSE,AI,EWS-PWD,Neutral,501,501
Indian Institute of Information Technology Bhagalpur,ECE,AI,OBC-NCL-PWD,Neutral,1774,1774
Indian Institute of Information Technology (IIIT)Kota Rajasthan,ECE,AI,SC-PWD,Neutral,213,213
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,ECE,AI,SC-PWD,Neutral,331,331
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,CSE,AI,SC-PWD,Neutral,76,76
Indian Institute of Information Technology Surat,CSE,AI,SC-PWD,Neutral,154,154
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,SC-PWD,Neutral,207,207
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,MECHANICAL,AI,SC-PWD,Neutral,353,353
Indian Institute of Information Technology Bhopal,CSE with Cyber Security,AI,SC-PWD,Neutral,330,330
Indian Institute of Information Technology Bhagalpur,Mechatronics and Automation Engineering,AI,OBC-NCL-PWD,Neutral,1432,1432
Indian Institute of Information Technology (IIIT) Pune,ECE,AI,SC-PWD,Neutral,160,160
Indian Institute of Information Technology (IIIT) Nagpur,CSE with AI,AI,SC-PWD,Neutral,82,82
Indian Institute of Information Technology Lucknow,CSE,AI,EWS-PWD,Female,334,334
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,CSE,AI,EWS-PWD,Neutral,350,350
Indian Institute of Information Technology(IIIT) Kottayam,CSE,AI,SC-PWD,Neutral,183,211
Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),AI,SC-PWD,Neutral,225,225
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,CSE,AI,EWS-PWD,Neutral,408,408
Indian Institute of Information Technology (IIIT) Pune,CSE,AI,ST-PWD,Neutral,19,19
Indian Institute of Information Technology (IIIT)Kota Rajasthan,CSE,AI,OBC-NCL-PWD,Female,1241,1241
Indian Institute of Information Technology Bhagalpur,Mathematics & Computing,AI,OPEN-PWD,Neutral,2524,2524
Indian Institute of Information Technology Bhopal,CSE,AI,EWS-PWD,Neutral,198,198
Indian Institute of Information Technology Agartala,CSE,AI,EWS-PWD,Neutral,441,441
Indian Institute of Information Technology(IIIT) Dharwad,AI and Data Science,AI,SC-PWD,Neutral,99,99
Indian Institute of Information Technology Bhopal,CSE,AI,SC-PWD,Neutral,137,137
Indian Institute of Information Technology (IIIT) Nagpur,ECE (Internet of Things),AI,SC-PWD,Neutral,351,351
Indian Institute of Information Technology Vadodara International Campus Diu (IIITVICD),CSE,AI,EWS-PWD,Neutral,520,520
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Mech(B.Tech.) - AI and Robotics(M.Tech.) DUAL,AI,EWS-PWD,Neutral,455,455
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN,Neutral,3710,8044
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN,Female,10050,11529
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OPEN-PWD,Neutral,212,212
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,EWS,Neutral,1127,1365
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,EWS,Female,2013,2013
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OBC-NCL,Neutral,2658,3625
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OBC-NCL,Female,5669,6214
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,OBC-NCL-PWD,Neutral,195,195
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,SC,Neutral,1737,2195
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,SC,Female,3246,3313
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,SC-PWD,Neutral,67,67
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,ST,Neutral,746,1343
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,ST,Female,1493,1493
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,CSE,AI,ST-PWD,Neutral,75,75
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN,Neutral,10447,17195
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN,Female,24344,25669
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OPEN-PWD,Neutral,1334,1334
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,EWS,Neutral,2740,2803
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,EWS,Female,4312,4312
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL,Neutral,5855,6543
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL,Female,10596,13502
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,OBC-NCL-PWD,Neutral,973,973
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,SC,Neutral,3776,5088
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,SC,Female,4852,4852
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,ST,Neutral,1508,1671
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OPEN,Neutral,9708,13577
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OPEN,Female,18625,22022
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OPEN-PWD,Neutral,776,776
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OPEN-PWD,Female,555,555
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,EWS,Neutral,2069,2370
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,EWS,Female,3731,3809
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OBC-NCL,Neutral,4349,6241
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OBC-NCL,Female,7705,10475
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,OBC-NCL-PWD,Neutral,557,557
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,SC,Neutral,2426,4293
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,SC,Female,4280,5371
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,ST,Neutral,1116,1981
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT) (5 Years Integrated B. Tech. and M. Tech.),AI,ST,Female,2568,2568
