National Institute of Technology Kurukshetra,ECE,Haryana,ST,Female,5957,5957
Maulana Azad National Institute of Technology Bhopal,Planning (4 Years Bachelor of Planning),Madhya Pradesh,EWS,Female,1952,1952
National Institute of Technology Delhi,MECHANICAL,Delhi,OBC-NCL-PWD,Neutral,1741,1741
Dr. B R Ambedkar National Institute of Technology Jalandhar,TEXTILE,AI,OPEN-PWD,Neutral,3284,3284
National Institute of Technology Mizoram,MECHANICAL,Mizoram,ST,Neutral,41155,41155
National Institute of Technology Raipur,BIOTECH,AI,OPEN-PWD,Female,4024,4024
National Institute of Technology Goa,CIVIL,AI,SC-PWD,Neutral,316,316
National Institute of Technology Hamirpur,CIVIL,AI,OBC-NCL-PWD,Neutral,1796,1796
National Institute of Technology Raipur,Biomedical Engineering,AI,OPEN-PWD,Neutral,4119,4119
Dr. B R Ambedkar National Institute of Technology Jalandhar,IPE,AI,OBC-NCL-PWD,Female,1808,1808
National Institute of Technology Agartala,CHEMICAL,AI,OPEN-PWD,Neutral,3491,3491
National Institute of Technology Sikkim,CIVIL,Sikkim,ST,Neutral,44606,44606
National Institute of Technology Agartala,Engineering Physics Dual,AI,OPEN-PWD,Neutral,4098,4098
National Institute of Technology Goa,MECHANICAL,Goa,ST,Female,19645,19645
National Institute of Technology Kurukshetra,CIVIL,AI,EWS-PWD,Neutral,521,521
National Institute of Technology Sikkim,Electrical and Electronics Engineering,AI,OBC-NCL-PWD,Neutral,1694,1694
National Institute of Technology Mizoram,ECE,Mizoram,ST,Neutral,28060,28060
National Institute of Technology Mizoram,CSE,Mizoram,ST,Female,22202,22202
National Institute of Technology Mizoram,EE,Mizoram,ST,Neutral,36398,36398
National Institute of Technology Andhra Pradesh,CSE,AI,SC-PWD,Neutral,49,49
National Institute of Technology Mizoram,Mathematics & Computing,Mizoram,OPEN,Female,1079883,1079883
National Institute of Technology Agartala,CHEMICAL,AI,EWS-PWD,Neutral,466,466
Malaviya National Institute of Technology Jaipur,CIVIL,AI,SC-PWD,Neutral,309,309
National Institute of Technology Sikkim,CIVIL,Sikkim,OBC-NCL,Neutral,494918,494918
National Institute of Technology Raipur,Biomedical Engineering,AI,OBC-NCL-PWD,Neutral,1647,1647
National Institute of Technology Agartala,Chemistry (5 Years BS and MS (Dual Degree)),Tripura,EWS,Neutral,154871,154871
National Institute of Technology Agartala,Engineering Physics Dual,Tripura,ST,Neutral,37663,37663
Dr. B R Ambedkar National Institute of Technology Jalandhar,CHEMICAL,AI,EWS-PWD,Neutral,370,370
National Institute of Technology Srinagar,CIVIL,AI,OBC-NCL-PWD,Neutral,1936,1936
National Institute of Technology Agartala,Electronics and Instrumentation Engineering,Tripura,ST,Neutral,34679,34679
National Institute of Technology Silchar,EE,AI,EWS-PWD,Neutral,342,342
Motilal Nehru National Institute of Technology Allahabad,CHEMICAL,AI,EWS-PWD,Neutral,423,423
National Institute of Technology Agartala,CIVIL,Tripura,EWS,Neutral,110684,146114
National Institute of Technology Silchar,CIVIL,AI,OBC-NCL-PWD,Neutral,1344,1344
National Institute of Technology Agartala,BIOTECH,Tripura,EWS,Female,106817,106817
National Institute of Technology Srinagar,CHEMICAL,AI,OBC-NCL-PWD,Neutral,1690,1690
National Institute of Technology Hamirpur,EE,AI,EWS-PWD,Neutral,524,524
National Institute of Technology Raipur,MECHANICAL,AI,OBC-NCL-PWD,Female,1312,1312
National Institute of Technology Agartala,CHEMICAL,Tripura,EWS,Female,86357,86357
National Institute of Technology Goa,CIVIL,Goa,EWS,Neutral,90020,90020
National Institute of Technology Agartala,Computational Mathematics Dual,Tripura,ST,Neutral,32941,32941
National Institute of Technology Raipur,CIVIL,Chattisgarh,OPEN-PWD,Neutral,4082,4082
National Institute of Technology Nagaland,Electronics and Instrumentation Engineering,AI,OBC-NCL-PWD,Neutral,1662,1662
National Institute of Technology Agartala,Computational Mathematics Dual,Tripura,EWS,Neutral,116936,116936
National Institute of Technology Manipur,MECHANICAL,AI,OBC-NCL-PWD,Neutral,1630,1630
National Institute of Technology Jamshedpur,CIVIL,AI,OBC-NCL-PWD,Female,1646,1646
National Institute of Technology Agartala,MECHANICAL,Tripura,ST,Female,26498,31110
National Institute of Technology Agartala,Electronics and Instrumentation Engineering,Tripura,ST,Female,42585,42585
National Institute of Technology Warangal,CHEMICAL,AI,SC-PWD,Neutral,166,166
National Institute of Technology Agartala,CIVIL,Tripura,EWS,Female,119388,119388
National Institute of Technology Agartala,ECE,AI,EWS-PWD,Neutral,320,320
Maulana Azad National Institute of Technology Bhopal,CHEMICAL,Madhya Pradesh,OPEN-PWD,Neutral,3919,3919
Dr. B R Ambedkar National Institute of Technology Jalandhar,BIOTECH,AI,OBC-NCL-PWD,Female,1540,1540
National Institute of Technology Srinagar,MECHANICAL,AI,OBC-NCL-PWD,Neutral,1906,1906
Sardar Vallabhbhai National Institute of Technology Surat,Physics (5 Years Integrated MS),AI,OBC-NCL-PWD,Neutral,1607,1607
National Institute of Technology Warangal,CIVIL,Telangana,OBC-NCL-PWD,Female,788,788
National Institute of Technology Kurukshetra,IT,Haryana,OBC-NCL-PWD,Neutral,753,753
National Institute of Technology Manipur,ECE,Manipur,SC,Female,32477,32477
National Institute of Technology Mizoram,CIVIL,Mizoram,OBC-NCL,Female,329699,329699
Maulana Azad National Institute of Technology Bhopal,METALLURGY,Madhya Pradesh,OBC-NCL-PWD,Neutral,1684,1684
National Institute of Technology Kurukshetra,ECE DUAL,Haryana,ST,Neutral,17096,17096
Dr. B R Ambedkar National Institute of Technology Jalandhar,MECHANICAL,Punjab,ST,Neutral,26070,26070
National Institute of Technology Raipur,BIOTECH,Chattisgarh,OPEN-PWD,Neutral,2877,2877
National Institute of Technology Srinagar,CHEMICAL,Jammu and Kashmir,OBC-NCL,Neutral,83653,284903
National Institute of Technology Rourkela,MECHANICAL,AI,SC-PWD,Neutral,133,133
National Institute of Technology Srinagar,EE,AI,SC-PWD,Neutral,180,180
National Institute of Technology Jamshedpur,METALLURGY,AI,EWS-PWD,Neutral,446,446
National Institute of Technology Mizoram,MECHANICAL,Mizoram,OPEN,Female,856058,1070084
Malaviya National Institute of Technology Jaipur,Architecture  (5 Years Bachelor of Architecture),AI,OPEN-PWD,Neutral,226,226
National Institute of Technology Kurukshetra,Industrial Internet of Things,Haryana,ST,Neutral,33673,33673
National Institute of Technology Raipur,IT,AI,SC-PWD,Female,66,66
National Institute of Technology Srinagar,MECHANICAL,Jammu and Kashmir,ST,Female,16929,16929
National Institute of Technology Silchar,MECHANICAL,Assam,OPEN-PWD,Neutral,930,930
Dr. B R Ambedkar National Institute of Technology Jalandhar,EE,AI,SC-PWD,Neutral,266,266
National Institute of Technology Arunachal Pradesh,EE,AI,OPEN-PWD,Female,3702,3702
Sardar Vallabhbhai National Institute of Technology Surat,ECE,Gujarat,OBC-NCL-PWD,Neutral,1379,1379
Indian Institute of Engineering Science and Technology Shibpur,Architecture  (5 Years Bachelor of Architecture),West Bengal,OPEN-PWD,Neutral,16,16
Malaviya National Institute of Technology Jaipur,MECHANICAL,Rajasthan,OBC-NCL-PWD,Neutral,1048,1048
National Institute of Technology Jamshedpur,CIVIL,Jharkhand,OBC-NCL-PWD,Neutral,1343,1343
National Institute of Technology Sikkim,MECHANICAL,Sikkim,OBC-NCL,Neutral,261339,382115
National Institute of Technology Calicut,CHEMICAL,AI,SC-PWD,Neutral,192,192
Maulana Azad National Institute of Technology Bhopal,MECHANICAL,Madhya Pradesh,OPEN-PWD,Female,2810,2810
Sardar Vallabhbhai National Institute of Technology Surat,CIVIL,Gujarat,OBC-NCL-PWD,Neutral,516,516
National Institute of Technology Silchar,Electronics and Instrumentation Engineering,AI,SC-PWD,Neutral,236,236
Sardar Vallabhbhai National Institute of Technology Surat,CHEMICAL,Gujarat,OPEN-PWD,Neutral,2800,2800
National Institute of Technology Kurukshetra,MECHANICAL DUAL,Haryana,ST,Neutral,35107,35107
