Birla Institute of Technology Mesra Ranchi,Architecture  (5 Years Bachelor of Architecture),HS,EWS,Neutral,6218,6218
Chhattisgarh Swami Vivekanada Technical University Bhilai (CSVTU Bhilai),CSE with Data Science,AI,OBC-NCL-PWD,Neutral,1333,1333
School of Studies of Engineering and Technology Guru Ghasidas Vishwavidyalaya Bilaspur,IT,AI,OPEN-PWD,Neutral,3648,3648
Birla Institute of Technology Mesra Ranchi,IPE,HS,ST,Neutral,21376,42562
Puducherry Technological University Puducherry,CIVIL,AI,OBC-NCL-PWD,Neutral,1666,1666
Birla Institute of Technology Mesra Ranchi,Physics (5 Years Integrated MS),HS,ST,Neutral,31658,35312
Puducherry Technological University Puducherry,CHEMICAL,AI,OBC-NCL-PWD,Neutral,1730,1730
Birla Institute of Technology Mesra Ranchi,ECE,AI,OBC-NCL-PWD,Neutral,1946,1946
Birla Institute of Technology Mesra Ranchi,Quantitative Economics & Data Science (5 Years Integrated MS),HS,ST,Neutral,11639,34186
Central University of Jammu,CSE,AI,OPEN-PWD,Neutral,4059,4059
Birla Institute of Technology Mesra Ranchi,Architecture  (5 Years Bachelor of Architecture),HS,ST,Neutral,215,215
CU Jharkhand,CSE DUAL,AI,OPEN-PWD,Neutral,3578,3578
Puducherry Technological University Puducherry,Mechatronics Engineering,AI,OBC-NCL-PWD,Neutral,1510,1510
Central University of Jammu,ECE,AI,OPEN-PWD,Neutral,4198,4198
Chhattisgarh Swami Vivekanada Technical University Bhilai (CSVTU Bhilai),CSE with AI,AI,OBC-NCL-PWD,Neutral,1810,1810
Punjab Engineering College Chandigarh,METALLURGY,AI,OPEN-PWD,Neutral,4032,4032
Shri Mata Vaishno Devi University Katra Jammu & Kashmir,CSE,AI,OPEN-PWD,Neutral,2839,2839
Birla Institute of Technology Mesra Ranchi,AI and Machine Learning,AI,OBC-NCL-PWD,Neutral,1493,1493
School of Studies of Engineering and Technology Guru Ghasidas Vishwavidyalaya Bilaspur,CSE,AI,OBC-NCL-PWD,Neutral,1843,1843
National Institute of Advanced Manufacturing Technology Ranchi,MECHANICAL,AI,OPEN-PWD,Neutral,3204,3204
Institute of Infrastructure Technology Research and Management-Ahmedabad,EE,AI,OBC-NCL-PWD,Neutral,1739,1739
Gurukula Kangri Vishwavidyalaya Haridwar,EE,AI,OPEN-PWD,Neutral,2929,3846
Gurukula Kangri Vishwavidyalaya Haridwar,CSE,AI,OBC-NCL-PWD,Neutral,1784,1784
Puducherry Technological University Puducherry,CSE,AI,SC-PWD,Neutral,381,381
Birla Institute of Technology Patna Off-Campus,ECE,AI,OPEN-PWD,Neutral,4269,4269
School of Studies of Engineering and Technology Guru Ghasidas Vishwavidyalaya Bilaspur,ECE,AI,OBC-NCL-PWD,Neutral,1891,1891
Mizoram University Aizawl,Computer Engineering,AI,OPEN-PWD,Neutral,3029,3029
Birla Institute of Technology Deoghar Off-Campus,CSE,AI,OBC-NCL-PWD,Neutral,1747,1747
Birla Institute of Technology Mesra Ranchi,Mathematics & Computing (5 Years Integrated MS),AI,OPEN-PWD,Neutral,2533,2533
Birla Institute of Technology Mesra Ranchi,Electrical and Electronics Engineering,AI,OBC-NCL-PWD,Neutral,1549,1549
Mizoram University Aizawl,IT,AI,OPEN-PWD,Neutral,3492,3492
Punjab Engineering College Chandigarh,IPE,HS,EWS,Neutral,93473,93473
Chhattisgarh Swami Vivekanada Technical University Bhilai (CSVTU Bhilai),CSE with AI,AI,OPEN-PWD,Neutral,1996,1996
Sant Longowal Institute of Engineering and Technology,Food Technology,AI,OPEN-PWD,Neutral,4287,4287
Birla Institute of Technology Mesra Ranchi,CIVIL,AI,OBC-NCL-PWD,Neutral,1801,1801
Punjab Engineering College Chandigarh,CIVIL,AI,OPEN-PWD,Neutral,4119,4132
Assam University Silchar,ECE,AI,OPEN-PWD,Neutral,2549,2549
Central University of Jammu,ECE,AI,OPEN-PWD,Neutral,3574,3574
Indian Institute of Handloom Technology Salem,Handloom and TEXTILE,AI,OBC-NCL-PWD,Neutral,1872,1872
